Frame,Vitesse_surface_m/s
0,0.7396704196929932
1,0.7476880073547364
2,0.7400818347930909
3,0.7666706085205078
4,0.7513370990753174
5,0.7997687816619873
6,0.7809887409210206
7,0.7931246995925904
8,0.7512936115264893
9,0.7731415271759033
10,0.7892563819885254
11,0.8085935354232788
12,0.7646008014678956
13,0.8029700517654419
14,0.7677379846572876
15,0.7822858572006226
16,0.7688647985458373
17,0.816745662689209
18,0.7814745426177978
19,0.8180504322052002
20,0.7522187232971191
21,0.7661481142044068
22,0.7757632255554199
23,0.781015706062317
24,0.758838415145874
25,0.7842583894729614
26,0.7600802421569824
27,0.7898365259170533
28,0.7581969022750855
29,0.7786464929580689
30,0.7270739078521729
31,0.7450738191604614
32,0.7313306093215943
33,0.7942146062850952
34,0.7617580890655518
35,0.7501381158828736
36,0.7087866783142089
37,0.7511542081832886
38,0.7481439113616943
39,0.7352886915206909
40,0.7323490619659424
41,0.7108107089996338
42,0.7282154560089112
43,0.713098669052124
44,0.6987286090850829
45,0.7146146535873413
46,0.7302099466323853
47,0.6847798347473145
48,0.7086416959762574
49,0.7008704423904419
50,0.7229958057403565
51,0.7223092317581178
52,0.7287143468856813
53,0.6870652198791505
54,0.7278263568878174
55,0.72806396484375
56,0.7000230073928833
57,0.7177557706832886
58,0.7062349319458008
59,0.7516149044036866
60,0.7160194873809814
61,0.7432255268096924
62,0.7418917894363404
63,0.6821316003799439
64,0.749563479423523
65,0.771934962272644
66,0.6958245277404785
67,0.7727066516876221
68,0.711627459526062
69,0.7514111995697023
70,0.7222748279571533
71,0.7491582870483399
72,0.7229109764099121
73,0.7379783391952515
74,0.709822154045105
75,0.7665774822235107
76,0.7231518030166626
77,0.7616598129272462
78,0.7199174880981446
79,0.7342346906661987
80,0.7296215772628785
81,0.7621373891830444
82,0.723316240310669
83,0.728945016860962
84,0.7146953344345094
85,0.7421823263168336
86,0.7614006042480469
87,0.7402129411697388
88,0.7695646047592164
89,0.6895970106124879
90,0.7379895687103272
91,0.7643969535827637
92,0.7466350793838502
93,0.729424524307251
94,0.7320343494415283
95,0.7414617061614991
96,0.7522631406784058
97,0.7363630056381226
98,0.7281335592269897
99,0.724251651763916
