,time_s,v_moy_alpha_0.7,v_moy_alpha_0.71,v_moy_alpha_0.72,v_moy_alpha_0.73,v_moy_alpha_0.74,v_moy_alpha_0.75,v_moy_alpha_0.76,v_moy_alpha_0.77,v_moy_alpha_0.78,v_moy_alpha_0.79,v_moy_alpha_0.8,v_moy_alpha_0.81,v_moy_alpha_0.82,v_moy_alpha_0.83,v_moy_alpha_0.84,v_moy_alpha_0.85,v_moy_alpha_0.86
0,0.0,0.7374538979530334,0.7479889536380767,0.7585240093231201,0.7690590650081635,0.7795941206932068,0.7901291763782501,0.8006642320632935,0.8111992877483368,0.8217343434333801,0.8322693991184236,0.8428044548034669,0.8533395104885102,0.8638745661735534,0.8744096218585968,0.8849446775436401,0.8954797332286835,0.9060147889137268
1,0.0333333333333333,0.7626063594818114,0.7735007360458374,0.7843951126098632,0.7952894891738891,0.806183865737915,0.8170782423019409,0.8279726188659667,0.8388669954299927,0.8497613719940186,0.8606557485580444,0.8715501251220703,0.8824445016860962,0.8933388782501219,0.9042332548141478,0.9151276313781738,0.9260220079421996,0.9369163845062255
2,0.0666666666666666,0.7589011995792388,0.7697426452875137,0.7805840909957885,0.7914255367040635,0.8022669824123383,0.8131084281206131,0.823949873828888,0.8347913195371628,0.8456327652454377,0.8564742109537126,0.8673156566619874,0.8781571023702622,0.888998548078537,0.8998399937868118,0.9106814394950866,0.9215228852033616,0.9323643309116364
3,0.1,0.7807333931922914,0.7918867273807527,0.803040061569214,0.8141933957576754,0.8253467299461367,0.8365000641345979,0.8476533983230592,0.8588067325115205,0.8699600666999818,0.8811134008884431,0.8922667350769045,0.9034200692653658,0.914573403453827,0.9257267376422883,0.9368800718307496,0.9480334060192109,0.9591867402076723
4,0.1333333333333333,0.7433849966526033,0.7540047823190691,0.7646245679855348,0.7752443536520006,0.7858641393184663,0.7964839249849321,0.807103710651398,0.8177234963178637,0.8283432819843295,0.8389630676507952,0.849582853317261,0.8602026389837267,0.8708224246501924,0.8814422103166581,0.892061995983124,0.9026817816495898,0.9133015673160555
5,0.1666666666666666,0.7752534062862397,0.7863284549474717,0.7974035036087037,0.8084785522699357,0.8195536009311677,0.8306286495923998,0.8417036982536318,0.8527787469148638,0.8638537955760958,0.8749288442373278,0.8860038928985597,0.8970789415597917,0.9081539902210236,0.9192290388822557,0.9303040875434877,0.9413791362047197,0.9524541848659517
6,0.2,0.8078760237693787,0.819417109823227,0.8309581958770753,0.8424992819309236,0.8540403679847719,0.8655814540386202,0.8771225400924684,0.8886636261463167,0.900204712200165,0.9117457982540133,0.9232868843078615,0.9348279703617098,0.9463690564155579,0.9579101424694062,0.9694512285232545,0.9809923145771028,0.9925334006309511
7,0.2333333333333333,0.7571307985782625,0.7679469528436662,0.7787631071090699,0.7895792613744738,0.8003954156398775,0.8112115699052813,0.822027724170685,0.8328438784360888,0.8436600327014926,0.8544761869668963,0.8652923412323,0.8761084954977039,0.8869246497631075,0.8977408040285112,0.908556958293915,0.9193731125593188,0.9301892668247225
8,0.2666666666666666,0.7782317655086518,0.7893493621587754,0.8004669588088991,0.8115845554590226,0.8227021521091462,0.8338197487592698,0.8449373454093935,0.856054942059517,0.8671725387096406,0.8782901353597643,0.8894077320098879,0.9005253286600114,0.911642925310135,0.9227605219602586,0.9338781186103822,0.9449957152605057,0.9561133119106294
9,0.3,0.7801969106197357,0.7913425807714463,0.8024882509231568,0.8136339210748673,0.8247795912265778,0.8359252613782884,0.8470709315299989,0.8582166016817094,0.86936227183342,0.8805079419851305,0.891653612136841,0.9027992822885516,0.9139449524402619,0.9250906225919724,0.9362362927436829,0.9473819628953934,0.958527633047104
