,time_s,Q_alpha_0.8,Q_alpha_0.81,Q_alpha_0.82,Q_alpha_0.83,Q_alpha_0.84,Q_alpha_0.85,Q_alpha_0.86,Q_alpha_0.87,Q_alpha_0.88
0,0.0333333333333333,,,,,,,,,
1,0.0666666666666666,,,,,,,,,
2,0.1,51.27644766188429,51.91740325765785,52.55835885343141,53.19931444920496,53.84027004497851,54.481225640752065,55.12218123652562,55.76313683229918,56.40409242807273
3,0.1333333333333333,29.488273465905053,29.856876884228864,30.225480302552675,30.59408372087649,30.962687139200302,31.331290557524117,31.699893975847928,32.06849739417174,32.43710081249556
4,0.1666666666666666,,,,,,,,,
5,0.2,38.873296541456334,39.359212748224536,39.84512895499273,40.33104516176093,40.81696136852914,41.30287757529735,41.78879378206555,42.274709988833756,42.760626195601965
6,0.2333333333333333,39.61600419089552,40.111204243281705,40.6064042956679,41.101604348054096,41.59680440044029,42.09200445282649,42.587204505212675,43.08240455759887,43.577604609985066
7,0.2666666666666667,35.56226804296804,36.00679639350515,36.451324744042246,36.89585309457934,37.34038144511644,37.78490979565355,38.229438146190645,38.67396649672774,39.11849484726485
8,0.3,33.79933253778837,34.22182419451073,34.64431585123308,35.06680750795544,35.48929916467779,35.911790821400146,36.3342824781225,36.756774134844854,37.17926579156721
9,0.3333333333333333,34.97682502645405,35.41403533928473,35.8512456521154,36.288455964946074,36.72566627777675,37.162876590607425,37.600086903438104,38.037297216268776,38.474507529099455
10,0.3666666666666666,35.931597236972365,36.38074220243452,36.82988716789667,37.279032133358825,37.72817709882098,38.17732206428313,38.62646702974529,39.075611995207446,39.52475696066959
11,0.4,32.0175741322589,32.41779380891214,32.81801348556537,33.2182331622186,33.618452838871846,34.01867251552508,34.41889219217831,34.819111868831556,35.21933154548479
12,0.4333333333333334,31.85991062837708,32.25815951123179,32.6564083940865,33.054657276941214,33.45290615979593,33.85115504265064,34.249403925505355,34.647652808360064,35.04590169121478
13,0.4666666666666667,37.07157444703863,37.53496912762662,37.99836380821459,38.46175848880257,38.92515316939056,39.38854784997854,39.85194253056653,40.31533721115451,40.778731891742495
14,0.5,35.85634976941387,36.30455414153154,36.752758513649205,37.20096288576688,37.64916725788456,38.09737163000223,38.5455760021199,38.99378037423758,39.441984746355246
15,0.5333333333333334,37.604738424831524,38.07479765514192,38.544856885452305,39.0149161157627,39.48497534607309,39.95503457638348,40.42509380669389,40.89515303700428,41.36521226731467
16,0.5666666666666667,36.21496707164042,36.66765416003593,37.12034124843143,37.57302833682694,38.02571542522244,38.478402513617944,38.93108960201345,39.38377669040896,39.83646377880446
17,0.6,46.80408871028257,47.3891398191611,47.97419092803962,48.559242036918164,49.144293145796695,49.729344254675226,50.314395363553764,50.899446472432295,51.48449758131081
18,0.6333333333333333,34.02949873271717,34.45486746687614,34.880236201035096,35.30560493519407,35.73097366935303,36.156342403512,36.58171113767096,37.00707987182992,37.43244860598889
19,0.6666666666666666,36.45993918900054,36.91568842886305,37.371437668725555,37.82718690858806,38.28293614845057,38.73868538831307,39.19443462817558,39.65018386803809,40.1059331079006
20,0.7000000000000001,35.35709790426021,35.799061628063455,36.24102535186671,36.68298907566996,37.12495279947321,37.56691652327647,38.008880247079716,38.45084397088297,38.892807694686226
21,0.7333333333333333,35.29130074124315,35.732442000508684,36.17358325977422,36.61472451903976,37.055865778305304,37.497007037570846,37.93814829683638,38.37928955610192,38.82043081536746
22,0.7666666666666666,33.22622329400972,33.64155108518484,34.05687887635996,34.472206667535076,34.8875344587102,35.30286224988532,35.718190041060446,36.13351783223557,36.54884562341069
23,0.8,27.987873945692982,28.33772237001415,28.687570794335308,29.03741921865647,29.38726764297763,29.737116067298793,30.086964491619955,30.43681291594112,30.786661340262285
24,0.8333333333333334,30.07077305291635,30.446657716077805,30.822542379239255,31.19842704240071,31.574311705562167,31.95019636872362,32.326081031885074,32.701965695046525,33.07785035820798
25,0.8666666666666668,28.26759445018271,28.620939380809993,28.974284311437273,29.327629242064557,29.68097417269184,30.034319103319127,30.38766403394641,30.741008964573695,31.094353895200978
26,0.9,28.825983823305933,29.186308621097258,29.546633418888582,29.906958216679907,30.267283014471232,30.627607812262557,30.987932610053882,31.348257407845207,31.70858220563653
27,0.9333333333333332,28.840380580013157,29.20088533726332,29.56139009451348,29.921894851763646,30.282399609013808,30.642904366263977,31.00340912351414,31.363913880764304,31.724418638014473
28,0.9666666666666668,27.118820141594803,27.457805393364737,27.796790645134667,28.135775896904605,28.474761148674535,28.813746400444472,29.15273165221441,29.491716903984344,29.83070215575428
29,1.0,29.312092172227533,29.678493324380373,30.044894476533216,30.411295628686062,30.777696780838905,31.144097932991748,31.51049908514459,31.876900237297438,32.24330138945028
30,1.0333333333333332,26.793651785450976,27.12857243276911,27.463493080087243,27.79841372740538,28.13333437472352,28.46825502204166,28.803175669359796,29.13809631667793,29.47301696399607
31,1.0666666666666669,28.993406951803617,29.355824538701164,29.718242125598703,30.08065971249625,30.443077299393796,30.805494886291342,31.16791247318889,31.530330060086435,31.892747646983977
32,1.1,29.68333006024512,30.054371685998184,30.425413311751242,30.79645493750431,31.167496563257373,31.538538189010435,31.9095798147635,32.28062144051656,32.651663066269634
33,1.1333333333333333,29.49840977535363,29.86713989754555,30.23587001973746,30.60460014192938,30.9733302641213,31.34206038631323,31.71079050850515,32.07952063069707,32.44825075288899
34,1.1666666666666667,28.677918645628644,29.036392628699005,29.394866611769356,29.753340594839717,30.111814577910074,30.47028856098043,30.82876254405079,31.187236527121147,31.54571051019151
