,time_s,v_moy_alpha_0.8,v_moy_alpha_0.81,v_moy_alpha_0.82,v_moy_alpha_0.83,v_moy_alpha_0.84,v_moy_alpha_0.85,v_moy_alpha_0.86,v_moy_alpha_0.87,v_moy_alpha_0.88
0,0.0333333333333333,,,,,,,,,
1,0.0666666666666666,,,,,,,,,
2,0.1,1.417075039952908,1.4347884779523192,1.4525019159517305,1.4702153539511418,1.487928791950553,1.5056422299499646,1.5233556679493758,1.5410691059487873,1.5587825439481986
3,0.1333333333333333,1.31355550977317,1.3299749536453345,1.346394397517499,1.3628138413896635,1.3792332852618283,1.3956527291339929,1.4120721730061576,1.4284916168783222,1.444911060750487
4,0.1666666666666666,,,,,,,,,
5,0.2,0.6199725634327259,0.627722220475635,0.635471877518544,0.643221534561453,0.6509711916043621,0.6587208486472712,0.6664705056901803,0.6742201627330894,0.6819698197759984
6,0.2333333333333333,0.6563711082704673,0.664575747123848,0.6727803859772289,0.6809850248306097,0.6891896636839906,0.6973943025373713,0.7055989413907522,0.713803580244133,0.7220082190975139
7,0.2666666666666667,0.5127253002511469,0.5191343665042862,0.5255434327574255,0.5319524990105648,0.5383615652637043,0.5447706315168436,0.5511796977699829,0.5575887640231222,0.5639978302762616
8,0.3,0.5289042489589114,0.5355155520708977,0.5421268551828841,0.5487381582948705,0.5553494614068569,0.5619607645188432,0.5685720676308297,0.5751833707428161,0.5817946738548024
9,0.3333333333333333,0.5080472668067952,0.5143978576418802,0.5207484484769651,0.52709903931205,0.533449630147135,0.5398002209822199,0.5461508118173048,0.5525014026523898,0.5588519934874747
10,0.3666666666666666,0.46685924611589535,0.47269498669234405,0.47853072726879264,0.48436646784524134,0.49020220842169004,0.49603794899813874,0.5018736895745874,0.5077094301510362,0.5135451707274848
11,0.4,0.4443086892281165,0.44986254784346796,0.45541640645881937,0.4609702650741708,0.4665241236895223,0.47207798230487374,0.4776318409202252,0.48318569953557666,0.4887395581509281
12,0.4333333333333334,0.4631427428782504,0.46893202716422855,0.47472131145020663,0.48051059573618476,0.4862998800221629,0.49208916430814104,0.49787844859411917,0.5036677328800974,0.5094570171660755
13,0.4666666666666667,0.578229514311982,0.5854573832408818,0.5926852521697815,0.5999131210986812,0.607140990027581,0.6143688589564809,0.6215967278853806,0.6288245968142804,0.6360524657431802
14,0.5,0.536812784666486,0.5435229444748171,0.5502331042831481,0.5569432640914791,0.5636534238998102,0.5703635837081413,0.5770737435164723,0.5837839033248035,0.5904940631331346
15,0.5333333333333334,0.7187061598595792,0.7276899868578239,0.7366738138560686,0.7456576408543133,0.754641467852558,0.7636252948508029,0.7726091218490476,0.7815929488472924,0.7905767758455371
16,0.5666666666666667,0.6762507296687176,0.6847038637895766,0.6931569979104355,0.7016101320312944,0.7100632661521534,0.7185164002730123,0.7269695343938714,0.7354226685147304,0.7438758026355893
17,0.6,0.9714518644412675,0.9835950127467833,0.9957381610522991,1.007881309357815,1.0200244576633308,1.0321676059688467,1.0443107542743624,1.0564539025798783,1.0685970508853941
18,0.6333333333333333,0.6988679844633733,0.7076038342691654,0.7163396840749575,0.7250755338807496,0.7338113836865419,0.742547233492334,0.7512830832981262,0.7600189331039183,0.7687547829097106
19,0.6666666666666666,0.6874433214508294,0.6960363629689648,0.7046294044871001,0.7132224460052354,0.7218154875233708,0.7304085290415062,0.7390015705596416,0.7475946120777769,0.7561876535959123
20,0.7000000000000001,0.629916143191525,0.637790094981419,0.645664046771313,0.6535379985612071,0.6614119503511011,0.6692859021409951,0.6771598539308893,0.6850338057207833,0.6929077575106775
21,0.7333333333333333,0.6217939971587914,0.6295664221232762,0.637338847087761,0.6451112720522459,0.6528836970167308,0.6606561219812157,0.6684285469457006,0.6762009719101855,0.6839733968746704
22,0.7666666666666666,0.5614046618309855,0.5684222201038728,0.57543977837676,0.5824573366496474,0.5894748949225347,0.596492453195422,0.6035100114683093,0.6105275697411966,0.6175451280140839
23,0.8,0.48861419618554214,0.49472187363786146,0.5008295510901807,0.5069372285424999,0.5130449059948192,0.5191525834471385,0.5252602608994578,0.5313679383517771,0.5374756158040963
24,0.8333333333333334,0.5064990032316538,0.5128302407720495,0.5191614783124451,0.5254927158528407,0.5318239533932364,0.5381551909336322,0.5444864284740278,0.5508176660144235,0.5571489035548192
25,0.8666666666666668,0.4983480321920591,0.5045773825944598,0.5108067329968605,0.5170360833992612,0.523265433801662,0.5294947842040627,0.5357241346064635,0.5419534850088642,0.548182835411265
26,0.9,0.3872962984146737,0.39213750214485715,0.39697870587504047,0.4018199096052239,0.40666111333540733,0.41150231706559076,0.4163435207957742,0.4211847245259576,0.42602592825614105
27,0.9333333333333332,0.5526185470369362,0.5595262788748979,0.5664340107128596,0.5733417425508213,0.5802494743887829,0.5871572062267447,0.5940649380647064,0.6009726699026681,0.6078804017406298
28,0.9666666666666668,0.4383047023028205,0.44378351108160574,0.44926231986039095,0.4547411286391762,0.46021993741796147,0.4656987461967467,0.471177554975532,0.47665636375431725,0.4821351725331025
29,1.0,0.5184563472193169,0.5249370515595584,0.5314177558997998,0.5378984602400413,0.5443791645802827,0.5508598689205242,0.5573405732607657,0.5638212776010071,0.5703019819412486
30,1.0333333333333332,0.3971136850488833,0.40207760611199433,0.40704152717510533,0.4120054482382164,0.41696936930132744,0.42193329036443844,0.4268972114275495,0.43186113249066055,0.4368250535537716
31,1.0666666666666669,0.48985385556818406,0.4959770287627864,0.5021002019573886,0.5082233751519909,0.5143465483465932,0.5204697215411955,0.5265928947357978,0.5327160679304002,0.5388392411250025
